drift,system,problem,relearn counts,0-50,51-100,101-150,151-200
reoccurring,no_relearn,easy-ipc-grid_easy-ipc-grid_p04_hyp-1_10_1_-no-relearn_per50.0.csv,0,0.6167777777777778,0.7679138321995465,0.6259637188208617,0.764172335600907
reoccurring,no_relearn,miconic_miconic_p04_hyp-1_10_3_-no-relearn_per50.0.csv,0,0.7846666666666666,0.6758503401360544,0.7755102040816326,0.6568027210884354
reoccurring,no_relearn,rovers_rovers_p01_hyp-1_10_3_-no-relearn_per50.0.csv,0,0.8286666666666667,0.7806122448979592,0.8612244897959184,0.7578231292517007
reoccurring,no_relearn,logistics_logistics_p07_hyp-3_10_3_-no-relearn_per50.0.csv,0,0.9613636363636364,0.7806895485466914,0.9558596165739023,0.7856369820655534
reoccurring,no_relearn,sokoban_sokoban_p04_hyp-3_10_1_-no-relearn_per50.0.csv,0,0.9023333333333333,0.6996598639455782,0.8918367346938776,0.7078231292517007
reoccurring,no_relearn,rovers_rovers_p04_hyp-2_10_2_-no-relearn_per50.0.csv,0,0.9973333333333333,0.7972789115646258,0.9972789115646259,0.7792517006802722
reoccurring,no_relearn,dwr_dwr_p01_hyp-1_10_3_-no-relearn_per50.0.csv,0,0.853,0.563265306122449,0.8462585034013606,0.5731292517006803
reoccurring,no_relearn,satellite_satellite_p04_hyp-2_10_1_-no-relearn_per50.0.csv,0,0.9616666666666667,0.5020408163265306,0.9500000000000001,0.5057823129251701
reoccurring,no_relearn,dwr_dwr_p03_hyp-2_10_2_-no-relearn_per50.0.csv,0,0.8333333333333334,0.6904761904761905,0.8333333333333334,0.6904761904761905
reoccurring,no_relearn,driverlog_driverlog_p04_hyp-1_10_3_-no-relearn_per50.0.csv,0,0.7796666666666666,0.4,0.7687074829931972,0.4
reoccurring,no_relearn,blocks-world_block-words_p06_-no-relearn_per50.0.csv,0,0.6331842105263158,0.49828141783029,0.6555853920515574,0.5052631578947369
reoccurring,no_relearn,zeno-travel_zeno-travel_p03_hyp-3_10_2_-no-relearn_per50.0.csv,0,0.7503333333333333,0.6744897959183673,0.7608843537414967,0.6795918367346939
reoccurring,no_relearn,satellite_satellite_p05_hyp-2_10_2_-no-relearn_per50.0.csv,0,1.0,0.5,1.0,0.5
reoccurring,no_relearn,easy-ipc-grid_easy-ipc-grid_p06_hyp-3_10_1_-no-relearn_per50.0.csv,0,0.689,0.8434240362811791,0.7041950113378684,0.8439909297052154
reoccurring,no_relearn,driverlog_driverlog_p01_hyp-1_10_1_-no-relearn_per50.0.csv,0,0.8813333333333333,0.523469387755102,0.9105442176870748,0.513265306122449
reoccurring,no_relearn,logistics_logistics-aaai_p01_hyp-2_10_0_-no-relearn_per50.0.csv,0,0.9176666666666666,0.81859410430839,0.9148526077097505,0.8319727891156462
reoccurring,no_relearn,blocks-world_block-words_p02_-no-relearn_per50.0.csv,0,0.6188947368421053,0.5006176154672395,0.6121643394199785,0.5011009667024704
reoccurring,no_relearn,intrusion-detection_intrusion-detection-aaai_p20_hyp-3_10_0_-no-relearn_per50.0.csv,0,0.9933684210526316,0.8031417830290011,0.9932062298603652,0.8211331901181526
reoccurring,no_relearn,logistics_logistics_p02_hyp-3_10_1_-no-relearn_per50.0.csv,0,0.887,0.6803854875283447,0.8848072562358277,0.6699546485260771
